model_id,run_time,validation_frame,nfolds,keep_cross_validation_models,keep_cross_validation_predictions,keep_cross_validation_fold_assignment,score_each_iteration,score_tree_interval,fold_assignment,fold_column,response_column,ignored_columns,ignore_const_cols,offset_column,weights_column,balance_classes,max_after_balance_size,max_confusion_matrix_size,max_hit_ratio_k,ntrees,max_depth,min_rows,nbins,nbins_top_level,nbins_cats,r2_stopping,stopping_rounds,stopping_metric,stopping_tolerance,max_runtime_secs,seed,build_tree_one_node,learn_rate,learn_rate_annealing,distribution,quantile_alpha,tweedie_power,huber_alpha,checkpoint,sample_rate,sample_rate_per_class,col_sample_rate,col_sample_rate_change_per_level,col_sample_rate_per_tree,min_split_improvement,histogram_type,max_abs_leafnode_pred,pred_noise_bandwidth,categorical_encoding,calibrate_model,calibration_frame,custom_metric_func,export_checkpoints_dir,monotone_constraints,check_constant_response
GBM_1_AutoML_20190410_190849_hyparameter,300,,5,FALSE,TRUE,FALSE,FALSE,5,Modulo,,,,,,,FALSE,5,20,0,17,15,100,20,1024,1024,1.7977E+308,0,deviance,0.001704228,0.000,4.28813E+18,FALSE,0.1,1,gaussian,0.50,1.50,0.90,,0.8,,0.8,1,0.8,0.0,Auto,1.7977E+308,0,AUTO,FALSE,,,,,TRUE
GBM_2_AutoML_20190410_190849_hyparameter,300,,5,FALSE,TRUE,FALSE,FALSE,5,Modulo,,,,TRUE,,,FALSE,5,20,0,17,15,100,20,1024,1024,1.7977E+308,0,deviance,0.001704228,0.000,4.28813E+18,FALSE,0.1,1,gaussian,0.50,1.50,0.90,,0.8,,0.8,1,0.8,0.0,Auto,1.7977E+308,0,AUTO,FALSE,,,,,TRUE
GBM_1_AutoML_20190419_184652_hyparameter,500,,5,FALSE,TRUE,FALSE,FALSE,5,Modulo,,,,TRUE,,,FALSE,5,20,0,5,15,100,20,1024,1024,1.7977E+308,0,deviance,0.001704228,0.000,4.3094E+18,FALSE,0.1,1,gaussian,0.50,1.50,0.90,,0.8,,1.0,1,0.8,1.0,Auto,1.7977E+308,0,AUTO,FALSE,,,,,TRUE
GBM_2_AutoML_20190419_184652_hyparameter,500,,5,FALSE,TRUE,FALSE,FALSE,5,Modulo,,,,TRUE,,,FALSE,5,20,0,5,15,100,20,1024,1024,1.7977E+308,0,deviance,0.001704228,0.000,4.3094E+18,FALSE,0.1,1,gaussian,0.50,1.50,0.90,,0.8,,0.8,1,0.8,1.0,Auto,1.7977E+308,0,AUTO,FALSE,,,,,TRUE
GBM_3_AutoML_20190419_184652_hyparameter,500,,5,FALSE,TRUE,FALSE,FALSE,5,Modulo,,,,TRUE,,,FALSE,5,20,0,5,15,100,20,1024,1024,1.7977E+308,0,deviance,0.001704228,0.000,4.3094E+18,FALSE,0.1,1,gaussian,0.50,1.50,0.90,,0.8,,0.8,1,0.8,1.0,Auto,1.7977E+308,0,AUTO,FALSE,,,,,TRUE
GBM_1_AutoML_20190419_193618_hyparameter,1000,,5,FALSE,TRUE,FALSE,FALSE,5,Modulo,,,,TRUE,,,FALSE,5,20,0,34,15,100,20,1024,1024,1.7977E+308,3,deviance,0.001704228,1.057,4.3094E+18,FALSE,0.1,1,gaussian,0.50,1.50,0.90,,0.8,,0.8,1,0.8,1.0,Auto,1.7977E+308,0,AUTO,FALSE,,,,,TRUE
GBM_2_AutoML_20190419_193618_hyparameter,1000,,5,FALSE,TRUE,FALSE,FALSE,5,Modulo,,,,TRUE,,,FALSE,5,20,0,34,15,100,20,1024,1024,1.7977E+308,3,deviance,0.001704228,1.057,4.3094E+18,FALSE,0.1,1,gaussian,0.50,1.50,0.90,,0.8,,0.8,1,0.8,1.0,Auto,1.7977E+308,0,AUTO,FALSE,,,,,TRUE
GBM_3_AutoML_20190419_193618_hyparameter,1000,,5,FALSE,TRUE,FALSE,FALSE,5,Modulo,,,,TRUE,,,FALSE,5,20,0,34,15,100,20,1024,1024,1.7977E+308,3,deviance,0.001704228,3.000,8.25482E+18,FALSE,0.1,1,gaussian,0.50,1.50,0.90,,0.8,,0.8,1,0.8,1.0,Auto,1.7977E+308,0,AUTO,FALSE,,,,,TRUE
GBM_1_AutoML_20190420_141222_hyparameter,2000,,5,FALSE,TRUE,FALSE,FALSE,5,Modulo,,,,TRUE,,,FALSE,5,20,0,445,15,100,20,1024,1024,1.7977E+308,3,deviance,0.001704228,401.938,-6.46062E+18,FALSE,0.1,1,gaussian,0.50,1.50,0.90,,0.8,,0.8,1,0.8,1.0,Auto,1.7977E+308,0,AUTO,FALSE,,,,,TRUE
GBM_2_AutoML_20190420_141222_hyparameter,2000,,5,FALSE,TRUE,FALSE,FALSE,5,Modulo,,,,TRUE,,,FALSE,5,20,0,445,15,100,20,1024,1024,1.7977E+308,3,deviance,0.001704228,401.938,-6.46062E+18,FALSE,0.1,1,gaussian,0.50,1.50,0.90,,0.8,,0.8,1,0.8,1.0,Auto,1.7977E+308,0,AUTO,FALSE,,,,,TRUE
